Nr.;Vorname;Nachname;Geburtsdatum;Strasse;PLZ;Stadt;Telefon;E-Mail;
1;Antonio;Ullmann;19.9.1949;Augustastr. 46;64756;Mossautal;06062 / 96589313;antonio.ullmann@mail.xyz;
2;Yannic;Mühl;24.9.1952;Kurze Str. 113;78476;Allensbach;07533 / 3080003;y.muehl@mail.xyz;
3;Janine;Price;5.3.1925;Klinkkampweg 193;17440;Sauzin;03836 / 29020085;janine.price@mail.xyz;
4;Benedict;Dammann;18.11.1995;Magdalenenstr. 77;09931;Marlishausen;03628 / 27852664;benedict.dammann@mail.xyz;
5;Gina;Kempf;21.5.1973;Schwalbenweg 162;04279;Leipzig;0341 / 14897051;gina.kempf@mail.xyz;
6;Horst;Yates;14.7.1997;Beuelsweg 5;34396;Liebenau;05676 / 85985527;h.yates@mail.xyz;
7;Kerstin;Geyer;18.12.1946;Rottkamp 7;54439;Palzem;06583 / 48225266;kerstin.geyer@mail.xyz;
8;Ella;Lohmann;19.1.1964;Erikahof 84;66127;Saarbrücken;0681 / 92564677;e.lohmann@mail.xyz;
9;Stefan;Jacobi;21.3.1928;Emdener Str. 7;67166;Otterstadt;06232 / 56887385;stefan.jacobi@mail.xyz;
10;Lyn;Sieben;14.9.1993;Kurneystr. 32;87463;Dietmannsried;08374 / 61014453;lyn.sieben@mail.xyz;
11;Brigitte;Zeitler;18.4.1995;Kriegerweg 58;32791;Lage;05232 / 3848875;brigitte.zeitler@mail.xyz;
12;Larissa;Merkel;4.6.1935;Frauenstr. 95;92670;Windischeschenbach;09681 / 23601932;larissa.merkel@mail.xyz;
13;Kristina;Kalb;21.6.1990;Emdener Str. 185;72511;Bingen;07571 / 69358238;kristina.kalb@mail.xyz;
14;Fynn;Albers;14.9.1981;Ostlandstr. 107;27337;Blender;04233 / 49452876;fynn.albers@mail.xyz;
15;Matthias;Lindsey;20.5.1949;Friedrich-Ebert-Str. 180;92721;Störnstein;09602 / 96844301;m.lindsey@mail.xyz;
16;Nicolas;Mertens;14.7.1968;Altenhofer Weg 134;22850;Norderstedt;040 / 67972443;n.mertens@mail.xyz;
17;Patrick;Rios;13.1.1935;Friedrichstr. 90;25712;Buchholz;04825 / 99912997;patrick.rios@mail.xyz;
18;Liam;Sparks;16.3.1981;Elsa-Brändström-Weg 24;92280;Kastl;09625 / 33744461;liam.sparks@mail.xyz;
19;Silvia;Warneke;21.10.1991;Gremmendorfer Weg 167;24975;Ausacker;04634 / 85873227;silvia.warneke@mail.xyz;
20;Angela;Manske;5.5.1960;Dingbängerweg 159;97228;Rottendorf;09302 / 94864956;angela.manske@mail.xyz;
21;Katja;Nau;17.2.1976;Am Wigbold 195;55469;Belgweiler;06761 / 82356943;katja.nau@mail.xyz;
22;Gerhard;Gebhard;27.1.1947;Nieland 12;87490;Haldenwang;08304 / 83763042;gerhard.gebhard@mail.xyz;
23;Claus;Lauer;20.9.1976;Alte Apotheke 34;35305;Grünberg;06401 / 73815924;claus.lauer@mail.xyz;
24;Jonas;Hiller;4.11.1994;Bernhard-Poether-Str. 22;84048;Mainburg;08751 / 6353238;jonas.hiller@mail.xyz;
25;Curt;Reichelt;12.12.1932;Merheimer Str. 161;19065;Raben Steinfeld;03860 / 94944659;c.reichelt@mail.xyz;
26;Gina;Brooks;28.9.1992;Neusser Str. 113;27726;Worpswede;04792 / 37171381;gina.brooks@mail.xyz;
27;Pia;Romero;14.12.1933;Kirchstr. 171;40474;Düsseldorf;0211 / 15149473;p.romero@mail.xyz;
28;Svea;Lippert;22.1.1937;Schubertstr. 1;84137;Vilsbiburg;08741 / 21649673;s.lippert@mail.xyz;
29;Waltraut;Tietz;12.6.1981;Angelmodder Weg 112;91560;Heilsbronn;09872 / 45853696;w.tietz@mail.xyz;
30;Annabelle;Wallace;20.3.1991;Zum Burgschemm 178;25355;Bevern;04123 / 1647753;a.wallace@mail.xyz;
31;Uwe;Forster;27.8.1933;Enschedeweg 43;29643;Neuenkirchen;05195 / 7341752;uwe.forster@mail.xyz;
32;Roman;Jakobs;14.6.1966;Königsberger Str. 135;32816;Schieder-Schwalenberg;05282 / 14069556;roman.jakobs@mail.xyz;
