Nr.;Vorname;Nachname;Geburtsdatum;Strasse;PLZ;Stadt;Telefon;E-Mail;
1;Jeremie;Fleming;10.11.1999;Manfred-von-Richthofen-Str. 135;49838;Langen;05904 / 98210089;j.fleming@mail.xyz;
2;Marc;Klaus;8.11.1924;Offenbergstr. 164;31553;Auhagen;05725 / 70878187;m.klaus@mail.xyz;
3;Max;Schulte;24.2.1926;Zum Burgschemm 139;91332;Heiligenstadt;03606 / 21058160;m.schulte@mail.xyz;
4;Uwe;Kretschmer;18.12.1997;Am Pulverschuppen 14;36318;Schwalmtal;06638 / 16822792;u.kretschmer@mail.xyz;
5;Sofie;Kappes;23.4.1968;Mindener Str. 67;21698;Bargstedt;04762 / 73838758;sofie.kappes@mail.xyz;
6;Fabienne;Wiese;28.9.1933;Weseler Str. 199;56598;Hammerstein;02635 / 93180563;fabienne.wiese@mail.xyz;
7;Madeleine;Breyer;7.2.1977;Mierendorffstr. 63;87755;Kirchhaslach;08333 / 58148286;madeleine.breyer@mail.xyz;
8;Isabelle;Scheck;26.3.1992;Ostmarkstr. 102;67240;Bobenheim-Roxheim;06239 / 41020365;isabelle.scheck@mail.xyz;
9;Gabriel;Graves;5.2.1970;Skagerrakstr. 81;27809;Lemwerder;0421 / 63772072;gabriel.graves@mail.xyz;
10;Rebekka;Börner;9.10.1988;Am Berler Kamp 66;56357;Strüth;06772 / 27226326;rebekka.boerner@mail.xyz;
11;Joachim;Busch;20.3.1962;Dorotheenstr. 50;71737;Kirchberg an der Murr;07144 / 87776621;joachim.busch@mail.xyz;
12;Marta;Ullrich;20.7.1944;Am Ziegelofen 125;76887;Oberhausen;06343 / 73947828;m.ullrich@mail.xyz;
13;Angela;Klose;25.1.1992;Magdalenenstr. 64;74613;Öhringen;07941 / 39534707;a.klose@mail.xyz;
14;Alena;Romero;22.8.1925;Max-Winkelmann-Str. 106;93356;Teugn;09405 / 52012379;a.romero@mail.xyz;
15;Michel;Eckardt;19.6.1982;Rincklakeweg 153;45475;Mülheim an der Ruhr;0208 / 59762754;m.eckardt@mail.xyz;
16;Sina;Stokes;9.1.1931;Schmeddingstr. 66;55608;Bergen;06752 / 52152246;s.stokes@mail.xyz;
17;Stephan;Eberl;20.8.1949;Gremmendorfer Weg 162;97348;Willanzheim;09323 / 66010040;stephan.eberl@mail.xyz;
18;Jonah;Henderson;5.8.1957;Kapellenstr. 174;89165;Dietenheim;07347 / 41994443;jonah.henderson@mail.xyz;
19;Dennis;Dahms;25.11.1987;Dachsleite 143;34593;Knüllwald;05685 / 43490450;d.dahms@mail.xyz;
20;Rieke;Acar;12.7.1993;Am Getterbach 39;58791;Werdohl;02392 / 99534361;rieke.acar@mail.xyz;
21;Stina;Hütter;26.2.1968;Memmertweg 39;25704;Epenwöhrden;04832 / 79276138;stina.huetter@mail.xyz;
22;Manuela;Wahl;7.6.1925;Drachterstr. 125;88179;Oberreute;08387 / 22529701;m.wahl@mail.xyz;
23;Gerhard;Siems;23.7.1929;Langestr. 151;84431;Rattenkirchen;08636 / 96405396;gerhard.siems@mail.xyz;
24;Lynn;Hetzel;5.5.1972;Dauvemühle 38;53506;Lind;02643 / 41136247;lynn.hetzel@mail.xyz;
25;Anne;Kreis;27.2.1954;Dreizehnerstr. 60;38855;Wernigerode;03943 / 51030006;a.kreis@mail.xyz;
26;Ole;Dresler;16.12.1965;Zum Guten Hirten 11;17309;Koblentz;03973 / 96400570;ole.dresler@mail.xyz;
27;Thies;Hanson;25.12.1965;Weserstr. 38;86660;Tapfheim;09070 / 23397790;t.hanson@mail.xyz;
28;Frederik;Kraft;25.2.1936;Sternstr. 2;50127;Bergheim;02271 / 89279711;frederik.kraft@mail.xyz;
29;Enrico;Güttler;9.1.1988;Herdingstr. 125;56865;Moritzheim;06542 / 60720854;enrico.guettler@mail.xyz;
30;Lili;Sigmund;2.7.1950;Idenbrockplatz 132;97204;Höchberg;0931 / 99746334;lili.sigmund@mail.xyz;
31;Miguel;Preiss;1.1.1982;Sentmaringer Weg 186;96279;Weidhausen;09562 / 37365002;miguel.preiss@mail.xyz;
32;Klara;Nelson;4.3.1988;Rennbahnstr. 68;01259;Dresden;0351 / 59615509;k.nelson@mail.xyz;
33;Andrea;Hauke;2.7.1973;Von-Holte-Str. 98;83536;Gars am Inn;08073 / 9655428;a.hauke@mail.xyz;
34;Hendrik;Pittman;8.2.1963;Overbergstr. 115;73734;Esslingen am Neckar;0711 / 43646138;h.pittman@mail.xyz;
