Nr.;Vorname;Nachname;Geburtsdatum;Strasse;PLZ;Stadt;Telefon;E-Mail;
1;Matti;Horn;25.7.1935;Templerweg 76;56253;Treis-Karden;02672 / 25603846;m.horn@mail.xyz;
2;Miguel;Behnke;16.11.1940;Am Filk 134;25572;Ecklak;04823 / 64493750;miguel.behnke@mail.xyz;
3;Lucas;Siebert;20.8.1925;Gremmendorfer Weg 54;99887;Gräfenhain;03624 / 12320774;l.siebert@mail.xyz;
4;Günther;Tag;8.7.1987;Piusstr. 153;79761;Waldshut-Tiengen;07741 / 7482837;g.tag@mail.xyz;
5;Marko;Lowe;12.2.2000;Wörthstr. 135;80796;München;089 / 66983134;marko.lowe@mail.xyz;
6;Magnus;Siegler;27.11.1940;Sentmaringer Weg 174;56858;Tellig;06542 / 39778725;m.siegler@mail.xyz;
7;Samira;Hoyer;7.4.1985;Hirseweg 72;91099;Poxdorf;09133 / 98605093;s.hoyer@mail.xyz;
8;Lukas;Fauser;7.2.1991;Rektoratsweg 194;93483;Pösing;09461 / 80870303;l.fauser@mail.xyz;
9;Ferdinand;Pauls;2.9.1976;Marientalstr. 116;09633;Halsbrücke;03731 / 1607211;f.pauls@mail.xyz;
10;Karl;Schaible;18.5.1984;Dachsleite 60;35260;Stadtallendorf;06428 / 2690376;karl.schaible@mail.xyz;
11;Emmily;Sharp;21.12.1941;Guntherstr. 118;57299;Burbach;02736 / 26056190;e.sharp@mail.xyz;
12;Mathies;Otterbach;10.10.1932;Fresnostr. 184;17217;Mollenstorf;03962 / 69642468;m.otterbach@mail.xyz;
13;Larissa;Kuhn;19.12.1964;Hofstr. 92;29482;Küsten;05841 / 72621045;larissa.kuhn@mail.xyz;
14;Laurin;Röder;18.5.1953;Am Römerhof 47;85305;Jetzendorf;08137 / 47128815;laurin.roeder@mail.xyz;
15;Felicitas;Schilling;4.10.1984;Piusallee 22;53489;Sinzig;02642 / 68436152;f.schilling@mail.xyz;
16;Andreas;Gardner;28.2.1943;Ostmarkstr. 13;89155;Erbach;07305 / 19721815;a.gardner@mail.xyz;
17;Zoe;Hempel;13.6.1992;Augustastr. 56;97249;Eisingen;09306 / 50683367;zoe.hempel@mail.xyz;
18;Lothar;Ganter;24.5.1954;Steinfurter Str. 101;53518;Herschbroich;02691 / 35102957;lothar.ganter@mail.xyz;
19;Ann;Atkins;2.9.1989;Templerweg 124;99718;Greußen;03636 / 71651081;ann.atkins@mail.xyz;
20;Filip;Sinn;25.11.1960;Am Wigbold 153;95494;Gesees;09201 / 39350588;filip.sinn@mail.xyz;
21;Swenja;Gallus;16.5.1949;Kanalstr. 84;31592;Stolzenau;05761 / 63127257;swenja.gallus@mail.xyz;
22;Rieke;Williams;11.2.1942;Friedrichstr. 197;88085;Langenargen;07543 / 82568372;rieke.williams@mail.xyz;
23;Hannah;Zink;5.12.1983;Westenkamp 31;49762;Renkenberge;05933 / 38174628;hannah.zink@mail.xyz;
