Nr.;Vorname;Nachname;Geburtsdatum;Strasse;PLZ;Stadt;Telefon;E-Mail;
1;Linus;Korte;19.10.1928;Grevener Str. 6;97789;Oberleichtersbach;09741 / 6056003;linus.korte@mail.xyz;
2;Bastian;Hüttner;21.12.1947;Heisstr. 94a;88214;Ravensburg;0751 / 20728219;bastian.huettner@mail.xyz;
3;Cathrin;Borst;7.3.1942;Theodor-Heuss-Ring 53;67487;Sankt Martin;06323 / 91560177;cathrin.borst@mail.xyz;
4;Steven;Bartel;25.9.1964;Ostlandstr. 190;84549;Engelsberg;08634 / 68570129;s.bartel@mail.xyz;
5;Fabian;Duncan;17.3.1933;Magdalenenstr. 165;03048;Cottbus;0355 / 71752061;fabian.duncan@mail.xyz;
6;Phillipp;Hornung;11.8.1938;Klinkkampweg 85;94345;Aholfing;09429 / 93516666;p.hornung@mail.xyz;
7;Lars;Austin;27.7.1952;Kerßenbrockstr. 139;26721;Emden;04921 / 89609975;lars.austin@mail.xyz;
8;Henning;Gaida;26.11.1937;Langeworth 46;70565;Stuttgart;0711 / 57093103;h.gaida@mail.xyz;
9;Marlon;Wilke;10.11.1925;Rincklakeweg 111a;88436;Eberhardzell;07358 / 13870490;marlon.wilke@mail.xyz;
10;Louisa;Häger;1.11.1936;Altenhofer Weg 182;86926;Greifenberg;08192 / 21398322;l.haeger@mail.xyz;
11;Colin;Normann;2.11.1952;Norbertstr. 190;56332;Niederfell;02607 / 27123304;colin.normann@mail.xyz;
12;Louisa;Esser;3.12.1921;Hölkenbusch 145;73574;Iggingen;07175 / 6328526;l.esser@mail.xyz;
13;Dieter;Kaplan;19.6.1921;Im Stemmen 43;86934;Reichling;08194 / 77521292;d.kaplan@mail.xyz;
14;David;Krüger;26.8.2000;Janningsweg 2;33334;Gütersloh;05241 / 37335495;d.krueger@mail.xyz;
15;Bernd;Leibold;15.1.1960;Teutonenstr. 122;45329;Essen;0201 / 38613451;bernd.leibold@mail.xyz;
16;Matti;Raddatz;17.11.1975;Äußere Kanalstr. 142a;29451;Dannenberg;05861 / 44205079;m.raddatz@mail.xyz;
17;Sam;Wolters;7.4.1971;Salzmannstr. 20;67742;Lauterecken;06382 / 20123086;sam.wolters@mail.xyz;
18;Wolfgang;Büscher;18.4.1992;Ölbergstr. 80;57520;Kausen;02747 / 937207;w.buescher@mail.xyz;
19;Annalena;Möller;4.9.1943;Salzmannstr. 153;64754;Hesseneck;06276 / 91790699;a.moeller@mail.xyz;
20;Noah;Hillebrandt;11.2.1970;Christinastr. 104;23795;Schackendorf;04551 / 18368563;n.hillebrandt@mail.xyz;
21;Karlo;Schüssler;10.9.1988;Marderweg 177;66497;Contwig;06332 / 37029129;karlo.schuessler@mail.xyz;
22;Luise;Adolf;15.5.1929;Sporckweg 120;73527;Schwäbisch Gmünd;07171 / 98833738;luise.adolf@mail.xyz;
23;Karolina;Dahlke;15.9.1935;Am Nubbenberg 56;79117;Freiburg;0761 / 93577538;k.dahlke@mail.xyz;
24;Ricardo;Bennett;25.12.1936;Papenbusch 85;17139;Duckow;03994 / 36064773;ricardo.bennett@mail.xyz;
25;Selin;Sonne;22.1.1946;Vorgebirgstr. 135;84036;Kumhausen;0871 / 51656367;s.sonne@mail.xyz;
26;Lena;Welsch;17.10.1956;Dahlweg 146;29386;Obernholz;05832 / 90782154;l.welsch@mail.xyz;
27;Damian;Powers;17.6.1966;Eulenbergstr. 94;66869;Ruthweiler;06381 / 41107425;damian.powers@mail.xyz;
28;Ralf;Cordes;26.11.1988;Heinrichstr. 37;35580;Wetzlar;06441 / 41106330;ralf.cordes@mail.xyz;
29;Muhammed;Leonhardt;15.5.1998;Steinkamp 59;24395;Stangheck;04643 / 22971101;m.leonhardt@mail.xyz;
30;Leona;Niemann;13.3.1931;Bohlweg 158;27321;Morsum;04204 / 55073053;leona.niemann@mail.xyz;
31;Zoé;Kluge;21.4.1999;Weserstr. 88;87675;Stötten am Auerberg;08349 / 7305733;zoe.kluge@mail.xyz;
32;Uwe;Wehrmann;10.5.1976;Mersmannsstiege 117;92286;Rieden;09624 / 25582717;uwe.wehrmann@mail.xyz;
33;Annabel;Elsner;14.5.1985;Weserstr. 81;66629;Freisen;06855 / 68941409;annabel.elsner@mail.xyz;
34;Liah;Eberhard;19.7.1922;Josef-Suwelack-Weg 127;63879;Weibersbrunn;06094 / 57535763;liah.eberhard@mail.xyz;
35;Linus;Groth;22.6.1962;Ripenhorst 72;56357;Ruppertshofen;06772 / 46870491;linus.groth@mail.xyz;
36;Selina;Klaus;7.1.1934;Beuelsweg 99;71729;Erdmannhausen;07144 / 71645041;s.klaus@mail.xyz;
37;Marlon;Love;8.6.1961;Kapellenstr. 108;55608;Hausen;06544 / 12570673;m.love@mail.xyz;
38;Dirk;Rivera;12.9.1993;Westenkamp 187;25585;Lütjenwestedt;04872 / 95927671;d.rivera@mail.xyz;
39;Andre;Hillmann;14.8.1974;Südstr. 146;97846;Partenstein;09355 / 39607855;a.hillmann@mail.xyz;
40;Ricardo;Padilla;25.8.1994;Mecklenbecker Str. 178;63179;Obertshausen;06104 / 7234009;r.padilla@mail.xyz;
41;Christopher;Kempf;22.12.1992;Herdingstr. 14;54586;Schüller;06597 / 81506067;c.kempf@mail.xyz;
42;Erika;Ehrmann;14.11.1996;Hogenbergstr. 61;55743;Gerach;06785 / 78149172;e.ehrmann@mail.xyz;
43;Greta;Seiler;7.9.1953;Am Brook 175;76857;Eußerthal;06346 / 4194311;greta.seiler@mail.xyz;
44;Jasmin;Myers;14.3.1988;Schmeddingstr. 65;54552;Demerath;06592 / 5483243;j.myers@mail.xyz;
