Nr.;Vorname;Nachname;Geburtsdatum;Strasse;PLZ;Stadt;Telefon;E-Mail;
1;Hannes;Ries;4.4.1923;Herdingstr. 76;97711;Maßbach;09735 / 85958441;h.ries@mail.xyz;
2;Joachim;Brink;21.6.1956;Max-Winkelmann-Str. 17;85221;Dachau;08131 / 28115216;joachim.brink@mail.xyz;
3;Lars;Fritzsche;13.7.1982;Hansaring 36;25597;Moordorf;04828 / 320929;lars.fritzsche@mail.xyz;
4;Mina;Seybold;1.1.1928;Landoisstr. 100;66450;Bexbach;06826 / 45008078;m.seybold@mail.xyz;
5;Ronja;Holland;19.1.1995;Am Burloh 53;44532;Lünen;02306 / 21252667;ronja.holland@mail.xyz;
6;Andre;Bartsch;3.6.1949;Im Stemmen 71;76889;Oberschlettenbach;06343 / 73286621;a.bartsch@mail.xyz;
7;Hanna;Schüller;9.4.1952;Kurneystr. 158;66851;Queidersbach;0631 / 7841159;h.schueller@mail.xyz;
8;Mohamed;Seidel;8.1.1966;Overbergstr. 133;93488;Schönthal;09978 / 3715677;mohamed.seidel@mail.xyz;
9;Anette;Clark;9.11.1967;Gottesweg 171;57580;Elben;02747 / 87196681;a.clark@mail.xyz;
10;Karlotta;Gans;2.6.1993;Carossastr. 198;54538;Kinheim;06541 / 69898171;k.gans@mail.xyz;
11;Jutta;McDonald;2.10.1988;Horstmarer Landweg 130;01877;Demitz-Thumitz;03594 / 5318656;jutta.mcdonald@mail.xyz;
12;Gudrun;Thies;4.6.1932;Nauheimer Str. 137a;97947;Grünsfeld;09346 / 11815698;gudrun.thies@mail.xyz;
13;Chantal;Mühl;24.8.1992;Mondstr. 31;66871;Thallichtenberg;06381 / 17947683;chantal.muehl@mail.xyz;
14;Matilda;Hackl;9.10.1990;Simon-Meister-Str. 32;35460;Staufenberg;06406 / 65229355;matilda.hackl@mail.xyz;
15;Lothar;Lautenschläger;13.5.1985;Schubertstr. 153;66484;Dietrichingen;06332 / 53514753;l.lautenschlaeger@mail.xyz;
16;Mats;Brodersen;1.4.1938;Am Brook 30;78467;Konstanz;07531 / 61684723;m.brodersen@mail.xyz;
17;Stella;Evers;24.9.1986;Möserweg 108;86405;Meitingen;08271 / 35899948;s.evers@mail.xyz;
18;Willy;Balke;3.2.1921;Nienkamp 8;72411;Bodelshausen;07471 / 68772484;willy.balke@mail.xyz;
19;Constantin;Gilbert;24.6.1920;Willingrott 25;25704;Nindorf;04832 / 93027318;c.gilbert@mail.xyz;
20;Jannick;Ramirez;7.7.1993;Catharina-Müller-Str. 55;18528;Lietzow;03838 / 55866321;j.ramirez@mail.xyz;
21;Jean;Engelhardt;12.10.1926;Norbertstr. 74;34508;Willingen;05632 / 78837928;jean.engelhardt@mail.xyz;
22;Vivien;Hussmann;12.10.1972;Rottkamp 190;63263;Neu-Isenburg;06102 / 77532309;vivien.hussmann@mail.xyz;
23;Joelle;Ross;8.11.1921;Norbertstr. 29;24405;Mohrkirch;04646 / 11477114;joelle.ross@mail.xyz;
24;Klara;Briggs;20.5.1976;Birkenweg 104;92555;Trausnitz;09655 / 68756666;k.briggs@mail.xyz;
25;Alisa;Möller;16.3.1980;Wildpfad 76;56370;Eisighofen;06486 / 3077816;alisa.moeller@mail.xyz;
26;Simon;Schweikert;7.1.1942;Marderweg 34;56769;Retterath;02692 / 75139850;simon.schweikert@mail.xyz;
27;Elisabeth;Kemper;24.4.2000;Am Dornbusch 168;09114;Chemnitz;0371 / 96599228;elisabeth.kemper@mail.xyz;
28;Lennard;Keim;6.2.1977;Dahlweg 174;50354;Hürth;02233 / 13141;lennard.keim@mail.xyz;
29;Gisela;Hepp;27.4.1929;Schützenstr. 65;66701;Beckingen;06835 / 41133908;g.hepp@mail.xyz;
30;Helga;Ramsey;10.3.1979;Rennbahnstr. 89;57339;Erndtebrück;02753 / 95729689;h.ramsey@mail.xyz;
31;Lilli;Reitz;2.2.1985;An Lyskirchen 36;56593;Krunkel;02685 / 40062681;l.reitz@mail.xyz;
32;Levin;Krull;23.5.1949;Emdener Str. 135;10783;Berlin;030 / 77641241;levin.krull@mail.xyz;
33;Marlene;Griffith;15.11.1985;Am Oedingteich 16;27412;Tarmstedt;04283 / 99541800;marlene.griffith@mail.xyz;
34;Rebekka;Bächle;17.1.1933;Westenkamp 198;88636;Illmensee;07558 / 8406484;r.baechle@mail.xyz;
35;Benedict;Kraft;16.10.1991;Angelstr. 99;17348;Mildenitz;03963 / 32806586;b.kraft@mail.xyz;
36;Madita;Wille;8.8.1930;Hofstr. 12;72355;Schömberg;07427 / 77694303;madita.wille@mail.xyz;
37;Karla;Wagenknecht;18.12.1945;Overbergstr. 135;67734;Katzweiler;06301 / 28020737;k.wagenknecht@mail.xyz;
38;Luise;Merkel;12.8.1955;Heisstr. 63a;92421;Schwandorf;09431 / 47650458;l.merkel@mail.xyz;
39;Franz;Krömer;23.8.1941;Am Wigbold 52;38228;Salzgitter;05341 / 98364497;f.kroemer@mail.xyz;
40;Swen;Schwarz;28.7.1981;Hülsebrockstr. 165;34119;Kassel;0561 / 65719003;swen.schwarz@mail.xyz;
41;Philipp;Warnecke;3.9.1955;Sophienstr. 195;56472;Lautzenbrücken;02661 / 8662749;p.warnecke@mail.xyz;
42;Joachim;Burger;13.9.1969;Dachsleite 151;63263;Neu-Isenburg;06102 / 5342271;j.burger@mail.xyz;
43;Arne;Wiese;13.3.1928;Osthuesheide 191;56316;Raubach;02684 / 45205896;arne.wiese@mail.xyz;
44;Muhammed;Tietz;12.1.1986;Idenbrockplatz 190;65627;Elbtal;06436 / 39659407;m.tietz@mail.xyz;
